dates;log Q simule;P simule
2017-01-13;14,66588492;0,668202443
2017-01-14;14,66588492;0,655015585
2017-01-15;14,66588492;0,657404495
2017-01-16;14,66588492;0,669848703
2017-01-17;14,66588492;0,734105568
2017-01-18;14,66588492;0,719188614
2017-01-19;14,66588492;0,72632049
2017-01-20;14,66588492;0,716143648
2017-01-21;14,66588492;0,737123547
2017-01-22;14,66588492;0,740137244
2017-01-23;14,66588492;0,746267837
2017-01-24;14,66588492;0,733470539
2017-01-25;14,66588492;0,737467404
2017-01-26;14,66588492;0,748645669
2017-01-27;14,66588492;0,744341038
2017-01-28;14,66588492;0,753393826
2017-01-29;14,66588492;0,743308222
2017-01-30;14,66588492;0,760860132
2017-01-31;14,66588492;0,804000429
2017-02-01;14,66588492;0,808340983
2017-02-02;14,66588492;0,831252753
2017-02-03;14,66588492;0,851268804
2017-02-04;14,66588492;0,856170542
2017-02-05;14,66588492;0,833252424
2017-02-06;14,66588492;0,86612053
2017-02-07;14,66588492;0,88269427
2017-02-08;14,66588492;0,880672429
2017-02-09;14,66588492;0,823270599
2017-02-10;14,66588492;0,821833735
2017-02-11;14,66588492;0,829092188
2017-02-12;14,66588492;0,813711561
2017-02-13;14,66588492;0,818104976
2017-02-14;14,66588492;0,827976674
2017-02-15;14,66588492;0,835944025
2017-02-16;14,66588492;0,86684563
2017-02-17;14,67453665;0,873485998
2017-02-18;14,67495845;0,871679752
2017-02-19;14,67495845;0,864371954
2017-02-20;14,70763446;0,868078458
2017-02-21;14,75521032;0,866283394
2017-02-22;14,76451999;0,864492042
2017-02-23;14,82207792;0,862704394
2017-02-24;14,82484481;0,860920443
2017-02-25;14,82484481;0,824706129
2017-02-26;14,82484481;0,830168551
2017-02-27;14,8398538;0,855590693
2017-02-28;14,84836413;0,853821452
2017-03-01;14,8904749;0,85205587
2017-03-02;14,918225;0,850293938
2017-03-03;14,95169671;0,84853565
2017-03-04;14,95169671;0,830365022
2017-03-05;14,95169671;0,825413362
2017-03-06;14,95169671;0,839836029
2017-03-07;14,95169671;0,812649292
2017-03-08;14,95169671;0,752377764
2017-03-09;14,95169671;0,776827141
2017-03-10;14,95169671;0,730877084
2017-03-11;14,95169671;0,762644637
2017-03-12;14,95169671;0,780404249
2017-03-13;14,95169671;0,805938244
2017-03-14;14,95169671;0,814956488
2017-03-15;14,95169671;0,824773899
2017-03-16;14,95169671;0,771551148
2017-03-17;14,95169671;0,696972424
2017-03-18;14,95169671;0,622918496
2017-03-19;14,95169671;0,648509751
2017-03-20;14,95169671;0,687129932
2017-03-21;14,95169671;0,734610881
2017-03-22;14,95169671;0,679699129
2017-03-23;14,95169671;0,6711065
2017-03-24;14,95169671;0,59778434
2017-03-25;14,95169671;0,618690834
2017-03-26;14,95169671;0,599080495
2017-03-27;14,95169671;0,67227523
2017-03-28;14,95169671;0,676083718
2017-03-29;14,95169671;0,675430111
2017-03-30;14,95169671;0,659049188
2017-03-31;14,95169671;0,704297091
2017-04-01;14,95169671;0,702344652
2017-04-02;14,95169671;0,693060024
2017-04-03;14,95169671;0,729817945
2017-04-04;14,95169671;0,745669592
2017-04-05;14,95169671;0,732421549
2017-04-06;14,95169671;0,771033527
2017-04-07;14,95169671;0,766066219
2017-04-08;14,95169671;0,753291976
2017-04-09;14,95169671;0,758387515
2017-04-10;14,95169671;0,776430132
2017-04-11;14,95396521;0,782725531
2017-04-12;14,95922605;0,781106965
2017-04-13;14,95922605;0,768189003
2017-04-14;14,95922605;0,77074067
2017-04-15;14,95922605;0,749970604
2017-04-16;14,95922605;0,738670571
2017-04-17;14,95922605;0,762718918
2017-04-18;14,97355778;0,771465613
2017-04-19;14,98019561;0,769870331
2017-04-20;15,01868893;0,768278348
2017-04-21;15,01868893;0,75893066
2017-04-22;15,01868893;0,739408748
2017-04-23;15,01868893;0,734419892
2017-04-24;15,01868893;0,756440667
2017-04-25;15,04816945;0,760367675
2017-04-26;15,05458801;0,758795342
2017-04-27;15,09660514;0,75722626
2017-04-28;15,09817016;0,755660423
2017-04-29;15,09817016;0,740903617
2017-04-30;15,09817016;0,743862378
2017-05-01;15,14226677;0,750982312
2017-05-02;15,18826757;0,749429387
2017-05-03;15,23360666;0,747879673
2017-05-04;15,24819437;0,746333163
2017-05-05;15,26171069;0,744789851
2017-05-06;15,26927185;0,743249731
2017-05-07;15,26927185;0,741128304
2017-05-08;15,33003668;0,740179038
2017-05-09;15,386211;0,738648452
2017-05-10;15,42359543;0,737121031
2017-05-11;15,45554672;0,735596768
2017-05-12;15,45554672;0,683482535
2017-05-13;15,45554672;0,708205377
2017-05-14;15,45554672;0,708642063
2017-05-15;15,45554672;0,683924176
2017-05-16;15,45554672;0,724770262
2017-05-17;15,53556639;0,726517158
2017-05-18;15,55957475;0,725014823
2017-05-19;15,59957185;0,723515594
2017-05-20;15,61995897;0,722019466
2017-05-21;15,62727399;0,720526431
2017-05-22;15,69464757;0,719036484
2017-05-23;15,7657466;0,717549618
2017-05-24;15,86372849;0,716065827
2017-05-25;15,86372849;0,681258234
2017-05-26;15,86372849;0,649880341
2017-05-27;15,86372849;0,609477352
2017-05-28;15,86372849;0,617182686
2017-05-29;15,86372849;0,670937568
2017-05-30;15,86372849;0,644185456
2017-05-31;15,86372849;0,691447603
2017-06-01;15,88809963;0,704305422
2017-06-02;15,90835958;0,702849017
2017-06-03;15,90835958;0,696355875
2017-06-04;15,90835958;0,691200464
2017-06-05;15,97740959;0,698497849
2017-06-06;16,07347673;0,697053454
2017-06-07;16,07347673;0,671355181
2017-06-08;16,07347673;0,658284759
2017-06-09;16,07347673;0,660429483
2017-06-10;16,07347673;0,676612859
2017-06-11;16,07347673;0,678991992
2017-06-12;16,07347673;0,617520687
2017-06-13;16,07347673;0,65573175
2017-06-14;16,07347673;0,591435509
2017-06-15;16,07347673;0,567658582
2017-06-16;16,07347673;0,572363334
2017-06-17;16,07347673;0,587543161
2017-06-18;16,07347673;0,559237436
2017-06-19;16,07347673;0,598864124
2017-06-20;16,07347673;0,641123665
2017-06-21;16,07347673;0,645431828
2017-06-22;16,07347673;0,648595822
2017-06-23;16,07347673;0,60271519
2017-06-24;16,07347673;0,575933481
2017-06-25;16,07347673;0,571143632
2017-06-26;16,07347673;0,566618672
2017-06-27;16,07347673;0,597722494
2017-06-28;16,07347673;0,582093202
2017-06-29;16,07347673;0,591850497
2017-06-30;16,07347673;0,557834117
2017-07-01;16,07347673;0,520702147
2017-07-02;16,07347673;0,516227684
2017-07-03;16,07347673;0,550534906
2017-07-04;16,07347673;0,570007945
